key,title,authors,year,venue,doi,dataset,application,method,attention_type,metrics,headline_metric,headline_value,strengths,limitations,gap,relation,comparable
PAFE2024,PAFE: A lightweight visualization-based fast malware classification method,"S. Li, J. Wang, S. Wang, Y. Song",2024,"Heliyon 10, e35965",10.1016/j.heliyon.2024.e35965,"Malimg (25 families, 9,435 images)",Windows PE malware family classification from grayscale byte-plots,CNN with FFSE blocks = multi-scale feature fusion + Squeeze-and-Excitation channel attention; pixel-padding resize instead of interpolation; 256x256 input,Channel (Squeeze-and-Excitation) inside a multi-scale fusion block,"Accuracy 99.25%, Precision 99.29%, Recall 99.25%, F1 99.27%, inference 10.04 ms, 721,913 params",F1,99.27,"Best published Malimg accuracy/latency trade-off; tiny (0.72M params); pixel-padding avoids the texture distortion that bilinear resizing causes; reports timing and parameter count, not just accuracy","Random (not source-grouped) split, so polymorphic near-duplicates can straddle train/test; no macro-F1 or per-class recall on the rare families; authors themselves note generalisation to new variants is unverified; no explainability","Leakage-controlled evaluation and per-class (macro) reporting are missing; attention is channel-only, so byte-offset position is discarded","Our Pillar-A target. We reproduce the same Malimg 25-family task as a subset of MaleBin and compare F1, but under a duplicate-grouped split",True
DRIN2024,Attention-Based Malware Detection Model by Visualizing Latent Features Through Dynamic Residual Kernel Network,"M. Basak, D.-W. Kim, M.-M. Han, G.-Y. Shin",2024,"Sensors 24(24), 7953",10.3390/s24247953,"Custom (25 families, 49,374), Malimg, MaleVis",Malware family classification from visualised binaries,"Dynamic Residual Involution Network (DRIN): involution kernels that are spatially specific and channel-agnostic, i.e. attention baked into the kernel","Involution (spatially specific, channel-agnostic) + residual","Malimg: Acc 99.3%, P 0.992, R 0.989, F1 0.9905 | MaleVis: Acc 98.9%, F1 0.9892 | Custom: Acc 99.5%, F1 0.9948",F1,99.05,Attention is intrinsic to the kernel rather than bolted on; validated on three datasets; heat-map visualisation attempted,Authors state it still struggles on under-represented classes; heavier than lightweight CNNs; sensitive to preprocessing noise; scalability to unseen families untested; interpretability admitted to be limited,The under-represented-class weakness is exactly what macro-F1 exposes and what class-weighted training plus a balanced dataset can address,Second comparable Malimg baseline; its admitted rare-class weakness motivates our macro-F1-driven model selection and class-weighted loss,True
SEAGM2023,Transfer Learning for Image-Based Malware Detection for IoT (SE-AGM),"P. Panda, C. U. Om Kumar, S. Marappan, M. Suresh, S. Manimurugan, D. Veesani Nandi",2023,"Sensors 23(6), 3253",10.3390/s23063253,Malimg (25 families),IoT malware detection from byte-plot images,Stacked ensemble of autoencoder + GRU + MLP over 25 CNN-extracted features; each stage's output feeds the next; data augmentation studied,"None (stacked ensemble, not attention)",Average accuracy 99.43% on Malimg,Accuracy,99.43,Highest reported Malimg accuracy in our set; very cheap at inference because it classifies only 25 encoded features; ablates augmentation,"Reports accuracy only -- no macro-F1, no per-class recall, no confusion matrix on the rare families, so the number cannot be checked against the imbalance rule; feature extractor trained on the same data it later encodes; random split",An accuracy-only headline on an imbalanced 25-class set is exactly what Sec. 6.2 warns about; the result is not verifiable per class,"Highest accuracy number we must acknowledge, but it is accuracy-only, so we compare our accuracy to it and explain why macro-F1 is the fairer basis",True
Hybrid2025,An Explainable Hybrid CNN-Transformer Architecture for Visual Malware Classification,"M. Alshomrani, A. Albeshri, A. A. Alsulami, B. Alturki",2025,"Sensors 25(15), 4581",10.3390/s25154581,"Malimg + MaleVis + VirusMNIST combined (61 classes); also Maldeb, Dumpware-10",Visual malware classification across merged sources,ConvNeXt-Tiny (local features) fused with Swin Transformer (global context); Grad-CAM for interpretability; real-time deployment demo,Self-attention (shifted-window Swin) + convolutional local features,"Combined 61-class validation accuracy 94.04% (ConvNeXt-Tiny alone 92.45%, Swin alone 90.44%); Maldeb 98%; Dumpware-10 97%",Accuracy,94.04,"The only paper in our set that evaluates a *merged multi-source* label space, which is what MaleBin is; uses Grad-CAM and discusses it; shows the hybrid beats either half",Accuracy on a validation split rather than an untouched test set; no macro-F1 on 61 imbalanced classes; Grad-CAM interpreted without acknowledging that byte-plots have no semantic regions; heavy backbones,"Merged-source label spaces drop ~5 points versus single-source Malimg, and nobody reports macro-F1 there; also no duplicate control across merged sources","Closest analogue to our 39-class MaleBin setting (merged sources, more classes). This is the paper our full-MaleBin number is compared against",True
MalVis2025,MalVis: A Large-Scale Image-Based Framework and Dataset for Advancing Android Malware Classification,"S. J. Makkawy, M. J. De Lucia, K. E. Barner",2025,arXiv:2505.12106,10.48550/arXiv.2505.12106,"MalVis (>1.3M images, 9 malware classes + benign)",Android malware classification from bytecode visualisations,Entropy + N-gram enhanced visualisation; MobileNetV2 / DenseNet201 / ResNet50 / InceptionV3 with eight ensemble strategies; undersampling,None,"Accuracy 95.19%, macro-F1 90.81%, Precision 92.58%, Recall 89.10%, MCC 87.58%, ROC-AUC 98.06%",macro-F1,90.81,"Reports macro-F1, MCC and ROC-AUC -- the honest metric set for imbalanced data; huge scale; explicit imbalance handling","Android bytecode, not Windows PE byte-plots, so not directly comparable; undersampling discards data; no attention module",Shows how far macro-F1 sits below accuracy on imbalanced visual malware data (95.19 vs 90.81) -- a gap the PE-image papers never report,"Context, not a comparison target. It is our evidence that macro-F1 is the right headline metric and that accuracy overstates performance",False
Byteplot2023,Comparative Analysis of Imbalanced Malware Byteplot Image Classification using Transfer Learning,"Jayasudha M, A. Shaik, G. Pendharkar, S. Kumar, Muhesh Kumar B, S. Balaji",2023,"PEIS 2023, Lecture Notes in Electrical Engineering; arXiv:2310.02742",10.48550/arXiv.2310.02742,"Malimg, a blended dataset, and MaleVis (three imbalance levels)",Byte-plot malware classification under class imbalance,"Six multi-class transfer-learning models; ResNet50, EfficientNetB0 and DenseNet169 were the strongest",None (pure transfer learning),"Max precision 97% (imbalanced), 95% (intermediate), 95% (balanced); more imbalance -> faster convergence but higher variance across models",Precision,97.0,Directly studies the imbalance axis; uses a blended (multi-source) dataset like MaleBin; documents the convergence/variance trade-off,Precision-only headline; no macro-F1 or per-class recall; no attention or custom architecture; no duplicate control across the blend,Blended multi-source byte-plot data is under-studied and reported with the wrong metric,"Justifies our baseline pool (ResNet50, DenseNet121, EfficientNet-B0) and our decision to report variance across folds, not a single number",False
IMCMK2024,IMCMK-CNN: A lightweight convolutional neural network with Multi-scale Kernels for Image-based Malware Classification,"D. Zhang, Y. Song, Q. Xiang, Y. Wang",2024,"Alexandria Engineering Journal 111, 203-220",10.1016/j.aej.2024.10.055,Malimg and other image-based malware sets,Malware variant classification from byte-plot images,Multi-scale Kernel (MK) block mixing large and small kernels plus an improved Squeeze-and-Excitation block; fusion strategy keeps the parameter cost of small kernels,Improved Squeeze-and-Excitation channel attention,[FILL FROM PDF -- read the results table of the published version and replace this string before you submit Task 1],Accuracy,,Directly motivates multi-scale kernels for byte texture; explicitly targets the parameter cost of large kernels,"Channel attention only, so byte-offset position is not modelled; single-source evaluation",Multi-scale + channel attention is established; direction-aware (positional) attention for byte-plots is not,The architectural ancestor of our multi-scale dilated block. We keep its multi-scale idea and add the positional attention it lacks,True


Paper,Title,Author (Year),Dataset,Method,Attention,Type,Main Result,Research Gap 
